Genome	Genome ID	Accession	PATRIC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.89"			"PATRIC.287.6613.287.6613.con.0001.CDS.100045.101568.rev"	"PATRIC"	"CDS"	100045	101568	1524	"-"	"FIG00014175"	"PLF_286_00001614"	"PGF_01889549"		507		"T6SS forkhead associated domain protein ImpI/VasC"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.957"			"PATRIC.287.6613.287.6613.con.0001.CDS.1001122.1002477.fwd"	"PATRIC"	"CDS"	1001122	1002477	1356	"+"	"FIG00002492"	"PLF_286_00000199"	"PGF_00064004"		451		"UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)"	"GO:0008766|UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity;GO:0008766|ribosomal S6-glutamic acid ligase activity;GO:0008766|coenzyme F420-0 gamma-glutamyl ligase activity;GO:0008766|coenzyme F420-2 alpha-glutamyl ligase activity;GO:0008766|protein-glycine ligase activity;GO:0008766|protein-glycine ligase activity, initiating;GO:0008766|protein-glycine ligase activity, elongating;GO:0008766|tubulin-glycine ligase activity;GO:0008766|protein-glutamic acid ligase activity;GO:0008766|tubulin-glutamic acid ligase activity"
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.958"			"PATRIC.287.6613.287.6613.con.0001.CDS.1002486.1003115.fwd"	"PATRIC"	"CDS"	1002486	1003115	630	"+"	"FIG00000573"	"PLF_286_00001079"	"PGF_08473931"		209		"Flavin prenyltransferase UbiX"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.959"			"PATRIC.287.6613.287.6613.con.0001.CDS.1003117.1003392.fwd"	"PATRIC"	"CDS"	1003117	1003392	276	"+"	"FIG00947911"	"PLF_286_00002478"	"PGF_06919539"		91		"hypothetical protein"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.960"			"PATRIC.287.6613.287.6613.con.0001.CDS.1003412.1004053.rev"	"PATRIC"	"CDS"	1003412	1004053	642	"-"	"FIG00905558"	"PLF_286_00005143"	"PGF_03331199"		213		"Uncharacterized protein YraR"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.961"			"PATRIC.287.6613.287.6613.con.0001.CDS.1004100.1005839.rev"	"PATRIC"	"CDS"	1004100	1005839	1740	"-"	"FIG00954052"	"PLF_286_00056631"	"PGF_00410111"		579		"putative phosphatidylinositol-4-phosphate 5-kinase"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.962"			"PATRIC.287.6613.287.6613.con.0001.CDS.1006029.1006484.rev"	"PATRIC"	"CDS"	1006029	1006484	456	"-"	"FIG01303815"	"PLF_286_00002392"	"PGF_01389504"		151		"Acyl dehydratase"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.963"			"PATRIC.287.6613.287.6613.con.0001.CDS.1006630.1007040.fwd"	"PATRIC"	"CDS"	1006630	1007040	411	"+"	"FIG00000832"	"PLF_286_00000968"	"PGF_00059509"		136		"Antiholin-like protein LrgA"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.964"			"PATRIC.287.6613.287.6613.con.0001.CDS.1007040.1007750.fwd"	"PATRIC"	"CDS"	1007040	1007750	711	"+"	"FIG00000822"	"PLF_286_00000099"	"PGF_00017655"		236		"LrgA-associated membrane protein LrgB"	
"Pseudomonas aeruginosa F22031"	"287.6613"	"287.6613.con.0001"	"fig|287.6613.peg.965"			"PATRIC.287.6613.287.6613.con.0001.CDS.1007770.1008363.fwd"	"PATRIC"	"CDS"	1007770	1008363	594	"+"	"FIG00138231"	"PLF_286_00436660"	"PGF_02866109"		197		"Uncharacterized protein, similar to the N-terminal domain of Lon protease"	
